UniProtKBID	EntrezGeneID	GeneSymbol	Domain	ProteinFamilies
Q9NQ38	11005	ISK5	Kazal-like ;Kazal-like 2;Kazal-like 3;Kazal-like 4;Kazal-like 5;Kazal-like 6;Kazal-like 7;Kazal-like 8;Kazal-like 9;Kazal-like 10;Kazal-like 11;Kazal-like 12;Kazal-like 13;Kazal-like 14;Kazal-like 15	
Q8NHJ6	11006	LIRB4	Ig-like C2-type 1;Ig-like C2-type 2	
Q15834	11007	CC85B		CCDC85 family
Q13007	11009	IL24		IL-10 family
Q86UE8	11011	TLK2	Protein kinase	Protein kinase superfamily, Ser/Thr protein kinase family
P33947	11014	ERD22		ERD2 family
O43731	11015	ERD23		ERD2 family
P17544	11016	ATF7	bZIP	BZIP family
Q8WVK2	11017	SNR27		SNUT3 family
Q13445	11018	TMED1	GOLD	EMP24/GP25L family
Q9BW83	11020	IFT27		Small GTPase superfamily, Rab family
Q15286	11021	RAB35		Small GTPase superfamily, Rab family
Q9Y2W6	11022	TDRKH	KH 1;KH 2;Tudor	Tdrkh family
Q8N6C8	11026	LIRA3	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4	
Q93062	11030	RBPMS	RRM	
Q13636	11031	RAB31		Small GTPase superfamily, Rab family
O75689	11033	ADAP1	Arf-GAP;PH 1;PH 2	
P60981	11034	DEST	ADF-H	Actin-binding proteins ADF family
Q9Y572	11035	RIPK3	Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family
Q9UNN4	11036	TF2AY		TFIIA subunit 1 family
Q9Y6Q2	11037	STON1	SHD;MHD	Stoned B family
Q9P1W9	11040	PIM2	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily
O43505	11041	B4GA1		Glycosyltransferase 49 family
Q9UJV3	11043	TRIM1	COS;Fibronectin type-III;B30.2/SPRY	TRIM/RBCC family
Q5XG87	11044	PAPD7	PAP-associated	DNA polymerase type-B-like family
O00322	11045	UPK1A		Tetraspanin (TM4SF) family
Q16186	11047	ADRM1		ADRM1 family
O43809	11051	CPSF5	Nudix hydrolase	Nudix hydrolase family, CPSF5 subfamily
Q16630	11052	CPSF6	RRM	RRM CPSF6/7 family
Q9NZT2	11054	OGFR		Opioid growth factor receptor family
Q9BS86	11055	ZPBP1		Zona pellucida-binding protein Sp38 family
Q9Y2R4	11056	DDX52	Helicase ATP-binding;Helicase C-terminal	DEAD box helicase family, DDX52/ROK1 subfamily
P08910	11057	ABHD2	AB hydrolase-1	AB hydrolase superfamily, AB hydrolase 4 family
Q9H0M0	11059	WWP1	C2;WW 1;WW 2;WW 3;WW 4;HECT	
O00308	11060	WWP2	C2;WW 1;WW 2;WW 3;WW 4;HECT	
O75829	11061	CNMD	BRICHOS	Chondromodulin-1 family
O95620	11062	DUS4L		Dus family, Dus4 subfamily
O94993	11063	SOX30		
Q7Z7A1	11064	CNTRL	LRRCT	
O00762	11065	UBE2C		Ubiquitin-conjugating enzyme family
Q16560	11066	U1SBP	RRM	
Q9NTK1	11067	DEPP1		
O14569	11068	C56D2	Cytochrome b561	
Q8WZA2	11069	RPGF4	DEP;N-terminal Ras-GEF;Ras-GEF	
Q12893	11070	TM115		TMEM115 family
O95147	11072	DUS14	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily
Q92547	11073	TOPB1	BRCT 1;BRCT 2;BRCT 3;BRCT 4;BRCT 5;BRCT 6;BRCT 7;BRCT 8	
Q9BZY9	11074	TRI31		TRIM/RBCC family
Q93045	11075	STMN2	SLD	Stathmin family
O94811	11076	TPPP		TPPP family
O75031	11077	HSF2B		
Q9H2D6	11078	TARA	PH	
O15258	11079	RER1		RER1 family
Q9UDY4	11080	DNJB4	J	
O60938	11081	KERA	LRRNT	Small leucine-rich proteoglycan (SLRP) family, SLRP class II subfamily
Q9NQ30	11082	ESM1	IGFBP N-terminal	
Q9BTC0	11083	DIDO1	TFIIS central	
Q9UKF5	11086	ADA29	Peptidase M12B;Disintegrin;EGF-like	
P61964	11091	WDR5		WD repeat WDR5/wds family
Q96E40	11092	SACA9		
Q76LX8	11093	ATS13	Peptidase M12B;Disintegrin;TSP type-1 1;TSP type-1 2;TSP type-1 3;TSP type-1 4;TSP type-1 5;TSP type-1 6;TSP type-1 7;TSP type-1 8;CUB 1;CUB 2	
Q9UGQ2	11094	FLOWR		Calcium channel flower family
Q9UNA0	11096	ATS5	Peptidase M12B;Disintegrin;TSP type-1 1;TSP type-1 2	
O15504	11097	NUP42		
O95084	11098	PRS23		Peptidase S1 family
Q16825	11099	PTN21	FERM;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class subfamily
Q9BUJ2	11100	HNRL1	SAP;B30.2/SPRY	
O95260	11101	ATE1		R-transferase family
O95059	11102	RPP14		Eukaryotic/archaeal RNase P protein component 2 family
Q13601	11103	KRR1	KH	KRR1 family
O75449	11104	KTNA1		AAA ATPase family, Katanin p60 subunit A1 subfamily
Q9NQW5	11105	PRDM7	KRAB-related;SET	
Q9NQX1	11107	PRDM5	SET	Class V-like SAM-binding methyltransferase superfamily
Q9UKN5	11108	PRDM4	SET	Class V-like SAM-binding methyltransferase superfamily
P31937	11112	3HIDH		HIBADH-related family, 3-hydroxyisobutyrate dehydrogenase subfamily
O14578	11113	CTRO	Protein kinase;AGC-kinase C-terminal;PH;CNH	Protein kinase superfamily, AGC Ser/Thr protein kinase family
O95684	11116	FR1OP	LisH	FGFR1OP family
Q9Y6C2	11117	EMIL1	EMI;Collagen-like;C1q	
P78410	11118	BT3A2	Ig-like V-type	Immunoglobulin superfamily, BTN/MOG family
O00481	11119	BT3A1	Ig-like V-type 1;Ig-like V-type 2;B30.2/SPRY	Immunoglobulin superfamily, BTN/MOG family
Q7KYR7	11120	BT2A1	Ig-like V-type;B30.2/SPRY	Immunoglobulin superfamily, BTN/MOG family
O14522	11122	PTPRT	MAM;Ig-like C2-type;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 2B subfamily
Q9UKA8	11123	RCAN3		RCAN family
Q9UNN5	11124	FAF1	UBA;UBX	
O95971	11126	BY55	Ig-like V-type	
Q9Y496	11127	KIF3A	Kinesin motor	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Kinesin II subfamily
O14802	11128	RPC1		RNA polymerase beta' chain family
Q8N2M8	11129	CLASR		Splicing factor SR family
O95229	11130	ZWINT		
Q9UMQ6	11131	CAN11	Calpain catalytic;EF-hand 1;EF-hand 2	Peptidase C2 family
Q9HC96	11132	CAN10	Calpain catalytic	Peptidase C2 family
Q9Y664	11133	KPTN		
Q00587	11135	BORG5	CRIB	BORG/CEP family
P82251	11136	BAT1		Amino acid-polyamine-organocation (APC) superfamily
Q13610	11137	PWP1		WD repeat PWP1 family
O95759	11138	TBCD8	GRAM 1;GRAM 2;Rab-GAP TBC	
Q16543	11140	CDC37		CDC37 family
Q9NZN1	11141	IRPL1	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;TIR	Interleukin-1 receptor family
Q9Y2B9	11142	IPKG		PKI family
O95251	11143	KAT7	MYST-type HAT	MYST (SAS/MOZ) family
Q14565	11144	DMC1		RecA family, DMC1 subfamily
P53816	11145	PLAT3		H-rev107 family
Q92990	11146	GLMN		
Q9XRX5	11147	HHLA3		
Q8NE79	11149	POPD1		Popeye family
P31146	11151	COR1A		WD repeat coronin family
Q9Y484	11152	WIPI4		WD repeat SVP1 family
Q9BVA6	11153	FICD	Fido	Fic family
Q9Y587	11154	AP4S1		Adaptor complexes small subunit family
O75112	11155	LDB3	PDZ;LIM zinc-binding 1;LIM zinc-binding 2;LIM zinc-binding 3	
O75365	11156	TP4A3	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family
P62312	11157	LSM6		SnRNP Sm proteins family, SmF/LSm6 subfamily
Q9UNT1	11158	RBL2B		Small GTPase superfamily, Rab family
Q9UBK7	11159	RBL2A		Small GTPase superfamily, Rab family
O94905	11160	ERLN2		Band 7/mec-2 family
Q9UKR5	11161	ERG28		ERG28 family
P53370	11162	NUDT6	Nudix hydrolase	Nudix hydrolase family
A0A024RBG1	11163	NUD4B	Nudix hydrolase	Nudix hydrolase family, DIPP subfamily
Q9NZJ9	11163	NUDT4	Nudix hydrolase	Nudix hydrolase family, DIPP subfamily
Q9UKK9	11164	NUDT5	Nudix hydrolase	Nudix hydrolase family
O95989	11165	NUDT3	Nudix hydrolase	Nudix hydrolase family, DIPP subfamily
Q12841	11167	FSTL1	Follistatin-like;Kazal-like;EF-hand 1;EF-hand 2;VWFC	
O75475	11168	PSIP1	PWWP	HDGF family
O75717	11169	WDHD1		
O95990	11170	F107A		FAM107 family
Q9Y3F4	11171	STRAP		WD repeat STRAP family
Q9UKP4	11173	ATS7	Peptidase M12B;Disintegrin;TSP type-1 1;TSP type-1 2;TSP type-1 3;TSP type-1 4;TSP type-1 5;TSP type-1 6;TSP type-1 7;TSP type-1 8;PLAC	
Q9UKP5	11174	ATS6	Peptidase M12B;Disintegrin;TSP type-1 1;TSP type-1 2;TSP type-1 3;TSP type-1 4;TSP type-1 5;PLAC	
Q9UIF9	11176	BAZ2A	MBD;DDT;Bromo	WAL family
Q9NRL2	11177	BAZ1A	WAC;DDT;Bromo	WAL family
Q9Y250	11178	LZTS1		LZTS family
Q9NRM2	11179	ZN277		ZNF277 family
Q9NNW5	11180	WDR6		WD repeat WDR6 family
Q9UGQ3	11182	GTR6		Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family, Glucose transporter subfamily
Q9Y4K4	11183	M4K5	Protein kinase;CNH	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily
Q92918	11184	M4K1	Protein kinase;CNH	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily
O95050	11185	INMT		Class I-like SAM-binding methyltransferase superfamily, NNMT/PNMT/TEMT family
Q9NS23	11186	RASF1	Ras-associating;SARAH	
Q9Y446	11187	PKP3		Beta-catenin family
Q9Y2I1	11188	NISCH	PX	
Q5SZQ8	11189	CELF3	RRM 1;RRM 2;RRM 3	CELF/BRUNOL family
Q9BV73	11190	CP250		
O75554	11193	WBP4	WW 1;WW 2	
Q9NUT2	11194	MITOS	ABC transmembrane type-1;ABC transporter	ABC transporter superfamily, ABCB family, Multidrug resistance exporter (TC 3.A.1.201) subfamily
Q9Y6Y8	11196	S23IP	SAM;DDHD	PA-PLA1 family
Q9Y5W5	11197	WIF1	WIF;EGF-like 1;EGF-like 2;EGF-like 3;EGF-like 4;EGF-like 5	
Q9Y5B9	11198	SP16H		Peptidase M24 family, SPT16 subfamily
Q9UJ72	11199	ANX10		Annexin family
O96017	11200	CHK2	FHA;Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CHK2 subfamily
Q9UNA4	11201	POLI	UmuC	DNA polymerase type-Y family
O60259	11202	KLK8	Peptidase S1	Peptidase S1 family, Kallikrein subfamily
Q9ULW2	11211	FZD10	FZ	G-protein coupled receptor Fz/Smo family
O94903	11212	PLPHP		Pyridoxal phosphate-binding protein YggS/PROSC family
Q9Y616	11213	IRAK3	Death;Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily
Q12802	11214	AKP13	DH;PH	
Q9UKA4	11215	AKA11		AKAP110 family
O43572	11216	AKA10	RGS 1;RGS 2	
Q9UHI6	11218	DDX20	Helicase ATP-binding;Helicase C-terminal	DEAD box helicase family, DDX20 subfamily
Q9BQ50	11219	TREX2		Exonuclease superfamily, TREX family
Q9Y6W6	11221	DUS10	Rhodanese;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily
P09001	11222	RM03		Universal ribosomal protein uL3 family
P42766	11224	RL35		Universal ribosomal protein uL29 family
Q8NCL4	11226	GALT6	Ricin B-type lectin	Glycosyltransferase 2 family, GalNAc-T subfamily
Q7Z7M9	11227	GALT5	Ricin B-type lectin	Glycosyltransferase 2 family, GalNAc-T subfamily
Q8NHQ8	11228	RASF8	Ras-associating	
O60831	11230	PRAF2		PRA1 family
Q9UGP8	11231	SEC63	J;SEC63 1;SEC63 2	
Q9UHN1	11232	DPOG2		
Q9UPZ3	11234	HPS5		HPS5 family
Q9BUL8	11235	PDC10		PDCD10 family
Q8WU17	11236	RN139		
Q9Y225	11237	RNF24		
Q9Y2D0	11238	CAH5B	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
Q9Y2J8	11240	PADI2		Protein arginine deiminase family
Q6P1K2	11243	PMF1		
Q9UKY1	11244	ZHX1		ZHX family
Q14439	11245	GP176		G-protein coupled receptor 1 family
O95157	11248	NXPH3		Neurexophilin family
O95156	11249	NXPH2		Neurexophilin family
Q9Y5Y3	11250	GPR45		G-protein coupled receptor 1 family
Q9Y5Y4	11251	PD2R2		G-protein coupled receptor 1 family
Q9UNF0	11252	PACN2	F-BAR;SH3	PACSIN family
Q9UKM7	11253	MA1B1		Glycosyl hydrolase 47 family
Q9Y5N1	11255	HRH3		G-protein coupled receptor 1 family
O75935	11258	DCTN3		Dynactin subunit 3 family
O43592	11260	XPOT		Exportin family
Q99653	11261	CHP1	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Calcineurin regulatory subunit family, CHP subfamily
Q13342	11262	SP140	HSR;SAND;Bromo	
Q9Y6I8	11264	PXMP4		Peroxisomal membrane protein PXMP2/4 family
Q9UNI6	11266	DUS12	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily
Q96H20	11267	SNF8		SNF8 family
Q9UMR2	11269	DD19B	Helicase ATP-binding;Helicase C-terminal	DEAD box helicase family, DDX19/DBP5 subfamily
Q8IXM6	11270	NRM		Nurim family
Q16378	11272	PROL4		
Q8WWM7	11273	ATX2L		Ataxin-2 family
Q9UMW8	11274	UBP18	USP	Peptidase C19 family
O95198	11275	KLHL2	BTB	
Q9UMZ2	11276	SYNRG	EH	
Q9NSU2	11277	TREX1		Exonuclease superfamily, TREX family
Q9Y4X4	11278	KLF12		Sp1 C2H2-type zinc-finger protein family
O95600	11279	KLF8		Sp1 C2H2-type zinc-finger protein family
Q9UQ53	11282	MGT4B		Glycosyltransferase 54 family
P98187	11283	CP4F8		Cytochrome P450 family
Q96T60	11284	PNKP	FHA	DNA 3' phosphatase family
Q9UBV7	11285	B4GT7		Glycosyltransferase 7 family
O94956	11309	SO2B1	Kazal-like	Organo anion transporter (TC 2.A.60) family
Q9NRW7	11311	VPS45		STXBP/unc-18/SEC1 family
O95372	11313	LYPA2		AB hydrolase superfamily, AB hydrolase 2 family
Q9UGN4	11314	CLM8	Ig-like V-type	CD300 family
Q99497	11315	PARK7		Peptidase C56 family
O14579	11316	COPE		COPE family
Q9UBG7	11317	RBPJL	IPT/TIG	Su(H) family
O95905	11319	ECD		ECD family
Q9HCN4	11321	GPN1		GPN-loop GTPase family
Q7Z403	11322	TMC6		TMC family
Q86XP3	11325	DDX42	Helicase ATP-binding;Helicase C-terminal	DEAD box helicase family, DDX42 subfamily
Q9Y279	11326	VSIG4	Ig-like 1;Ig-like 2	
O95302	11328	FKBP9	PPIase FKBP-type 1;PPIase FKBP-type 2;PPIase FKBP-type 3;PPIase FKBP-type 4;EF-hand 1;EF-hand 2	
Q15208	11329	STK38	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family
Q99895	11330	CTRC	Peptidase S1	Peptidase S1 family, Elastase subfamily
Q99623	11331	PHB2		Prohibitin family
O00154	11332	BACH	HotDog ACOT-type 1;HotDog ACOT-type 2	
Q13442	11333	HAP28		PDAP1 family
O75896	11334	TUSC2		TUSC2 family
Q13185	11335	CBX3	Chromo 1;Chromo	
O60645	11336	EXOC3		SEC6 family
O95166	11337	GBRAP		ATG8 family
P26368	11338	U2AF2	RRM 1;RRM 2;RRM 3	Splicing factor SR family
O43482	11339	MS18B	Mis18	Mis18 family
Q96B26	11340	EXOS8		RNase PH family
O75711	11341	SCRG1		SCRG1 family
O43567	11342	RNF13	PA	
Q99685	11343	MGLL		AB hydrolase superfamily, Monoacylglycerol lipase family
Q6IBS0	11344	TWF2	ADF-H 1;ADF-H 2	Actin-binding proteins ADF family, Twinfilin subfamily
P60520	11345	GBRL2		ATG8 family
Q8N3V7	11346	SYNPO		Synaptopodin family
O15234	22794	CASC3		CASC3 family
Q14112	22795	NID2	NIDO;EGF-like 1;Nidogen G2 beta-barrel;EGF-like 2;EGF-like ;EGF-like 4;EGF-like ;Thyroglobulin type-1 1;Thyroglobulin type-1 2	
Q14746	22796	COG2		COG2 family
O14948	22797	TFEC	bHLH	MiT/TFE family
A4D0S4	22798	LAMB4	Laminin N-terminal;Laminin EGF-like 1;Laminin EGF-like 2;Laminin EGF-like 3;Laminin EGF-like 4;Laminin EGF-like ;Laminin IV type B;Laminin EGF-like 6;Laminin EGF-like 7;Laminin EGF-like 8;Laminin EGF-like 9;Laminin EGF-like 10;Laminin EGF-like 11;Laminin EGF-like 12;Laminin EGF-like 13	
P62070	22800	RRAS2		Small GTPase superfamily, Ras family
Q9UKX5	22801	ITA11	VWFA	Integrin alpha chain family
Q9H0D6	22803	XRN2		5'-3' exonuclease family, XRN2/RAT1 subfamily
Q9UKT9	22806	IKZF3		Ikaros C2H2-type zinc-finger protein family
Q9UKS7	22807	IKZF2		Ikaros C2H2-type zinc-finger protein family
O14807	22808	RASM		Small GTPase superfamily, Ras family
Q9Y2D1	22809	ATF5	bZIP	BZIP family
P61923	22818	COPZ1		Adaptor complexes small subunit family
Q9Y678	22820	COPG1		COPG family
Q14644	22821	RASA3	C2 1;C2 2;Ras-GAP;PH	
Q8WV24	22822	PHLA1	PH	
Q9Y483	22823	MTF2	Tudor	Polycomblike family
O95757	22824	HS74L		Heat shock protein 70 family
O75937	22826	DNJC8	J	
Q9UHX1	22827	PUF60	RRM 1;RRM 2;RRM 	RRM half pint family
Q9UPN6	22828	SCAF8	CID;RRM	
Q5TB80	22832	CE162		CEP162 family
Q9Y2D9	22834	ZN652		Krueppel C2H2-type zinc-finger protein family
Q9Y2G7	22835	ZFP30	KRAB	Krueppel C2H2-type zinc-finger protein family
O94955	22836	RHBT3	BTB 1;BTB 2	
Q53SF7	22837	COBL1	WH2	
Q7L0R7	22838	RNF44		
Q9Y2H0	22839	DLGP4		SAPAP family
Q7L804	22841	RFIP2	C2;FIP-RBD	
Q8WY54	22843	PPM1E	PPM-type phosphatase	PP2C family
Q5SYB0	22844	FRPD1	PDZ;FERM	
Q9UPQ8	22845	DOLK		Polyprenol kinase family
Q7L8A9	22846	VASH1		Transglutaminase-like superfamily, Vasohibin family
Q8TCN5	22847	ZN507		Krueppel C2H2-type zinc-finger protein family
Q2M2I8	22848	AAK1	Protein kinase	Protein kinase superfamily, Ser/Thr protein kinase family
Q8NE35	22849	CPEB3	RRM 1;RRM 2	RRM CPEB family
Q6IQ32	22850	ADNP2		Krueppel C2H2-type zinc-finger protein family
Q9UPS8	22852	ANR26		
Q8IWU2	22853	LMTK2	Protein kinase	Protein kinase superfamily, Tyr protein kinase family
Q9Y2I2	22854	NTNG1	Laminin N-terminal;Laminin EGF-like 1;Laminin EGF-like 2;Laminin EGF-like 3	
Q86X52	22856	CHSS1		Chondroitin N-acetylgalactosaminyltransferase family
Q9UPZ9	22858	CILK1	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
O94910	22859	AGRL1	SUEL-type lectin;Olfactomedin-like;GPS	G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily
Q9C000	22861	NLRP1	Pyrin;NACHT;FIIND;CARD	NLRP family
Q9Y2H6	22862	FND3A	Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Fibronectin type-III 7;Fibronectin type-III 8;Fibronectin type-III 9	FNDC3 family
Q6ZNE5	22863	BAKOR		ATG14 family
Q9Y2K5	22864	R3HD2	R3H;SUZ	
O94933	22865	SLIK3	LRRCT 1;LRRNT;LRRCT 2	SLITRK family
Q8WXI2	22866	CNKR2	SAM;CRIC;PDZ;DUF1170;PH	CNKSR family
Q9NYY8	22868	FAKD2	RAP	FAST kinase family
Q9Y2H8	22869	ZN510	KRAB	Krueppel C2H2-type zinc-finger protein family
Q9UPN7	22870	PP6R1		SAPS family
Q8N2Q7	22871	NLGN1		Type-B carboxylesterase/lipase family
O94979	22872	SC31A		WD repeat SEC31 family
Q86YF9	22873	DZIP1		DZIP C2H2-type zinc-finger protein family
Q9Y2H5	22874	PKHA6	PH	
Q9Y2H2	22876	SAC2	SAC;hSac2	
Q9HAP2	22877	MLXIP	bHLH	
Q9Y2L5	22878	TPPC8		TRS85 family
Q7L1V2	22879	MON1B		MON1/SAND family
Q9Y6X9	22880	MORC2		
Q9Y2G4	22881	ANKR6		
Q9Y6X8	22882	ZHX2		ZHX family
O94985	22883	CSTN1	Cadherin 1;Cadherin 2	
Q9Y2I8	22884	WDR37		
O94929	22885	ABLM3	LIM zinc-binding 1;LIM zinc-binding 2;LIM zinc-binding 3;LIM zinc-binding 4;HP	
Q9UPW0	22887	FOXJ3		
O94941	22888	RNF37	U-box	
Q7Z7F0	22889	KHDC4	KH 1;KH 2	KHDC4 family
Q9Y2K1	22890	ZBTB1	BTB	
Q70YC4	22891	TALAN		
Q70YC5	22891	ZN365		
Q8TBE0	22893	BAHD1	BAH	
Q9Y2L1	22894	RRP44	PINc	RNR ribonuclease family
Q9Y2J0	22895	RP3A	RabBD;C2 1;C2 2	
Q9UPV0	22897	CE164	WW	
A2RUS2	22898	DEND3	uDENN;cDENN;dDENN	
O94989	22899	ARHGF	DH	
Q9Y2G2	22900	CARD8	FIIND;CARD	
Q7L099	22902	RUFY3	RUN	
Q9Y2F9	22903	BTBD3	BTB;BACK	
Q9Y2G9	22904	SBNO2		SBNO family
O95208	22905	EPN2	ENTH;UIM 1;UIM 2	Epsin family
Q9UPV9	22906	TRAK1	HAP1 N-terminal	Milton family
Q7L2E3	22907	DHX30	DRBM;Helicase ATP-binding;Helicase C-terminal	DEAD box helicase family, DEAH subfamily
Q9NTJ5	22908	SAC1	SAC	
Q9Y2M0	22909	FAN1	VRR-NUC	FAN1 family
O94967	22911	WDR47	LisH;CTLH	
Q9UKM9	22913	RALY	RRM	RRM HNRPC family, RALY subfamily
P26718	22914	NKG2D	C-type lectin	
Q13201	22915	MMRN1	EMI;EGF-like;C1q	
P52298	22916	NCBP2	RRM	RRM NCBP2 family
Q9NPY3	22918	C1QR1	C-type lectin;EGF-like 1;EGF-like 2;EGF-like ;EGF-like ;EGF-like	
Q15691	22919	MARE1	Calponin-homology (CH);EB1 C-terminal	MAPRE family
Q92845	22920	KIFA3		
Q9Y3D2	22921	MSRB2	MsrB	MsrB Met sulfoxide reductase family
Q9UPY8	22924	MARE3	Calponin-homology (CH);EB1 C-terminal	MAPRE family
Q13018	22925	PLA2R	Ricin B-type lectin;Fibronectin type-II;C-type lectin 1;C-type lectin 2;C-type lectin 3;C-type lectin 4;C-type lectin 5;C-type lectin 6;C-type lectin 7;C-type lectin 8	
P18850	22926	ATF6A	bZIP	BZIP family, ATF subfamily
Q5JVS0	22927	HABP4		
Q99611	22928	SPS2		Selenophosphate synthase 1 family, Class I subfamily
P49903	22929	SPS1		Selenophosphate synthase 1 family, Class II subfamily
Q15042	22930	RB3GP		Rab3-GAP catalytic subunit family
Q9NP72	22931	RAB18		Small GTPase superfamily, Rab family
Q6PJE2	22932	POZP3		
Q8IXJ6	22933	SIR2	Deacetylase sirtuin-type	Sirtuin family, Class I subfamily
P49247	22934	RPIA		Ribose 5-phosphate isomerase family
O00472	22936	ELL2		ELL/occludin family
Q12770	22937	SCAP	SSD	WD repeat SCAP family
Q13573	22938	SNW1		SNW family
Q9UPX8	22941	SHAN2	SH3;PDZ;SAM	SHANK family
O94907	22943	DKK1		Dickkopf family
O60870	22944	KIN17		KIN17 family
P48643	22948	TCPE		TCP-1 chaperonin family
Q14914	22949	PTGR1		NADP-dependent oxidoreductase L4BD family
Q9BWU0	22950	NADAP	FHA	
Q9UBL9	22953	P2RX2		P2X receptor family
Q13049	22954	TRI32		TRIM/RBCC family
Q96GD3	22955	SCMH1	SAM	SCM family
Q9ULW0	22974	TPX2		TPX2 family
Q6ZW49	22976	PAXI1	BRCT 1;BRCT 2;BRCT 3;BRCT 4;BRCT 5;BRCT 6	
O95154	22977	ARK73		Aldo/keto reductase family, Aldo/keto reductase 2 subfamily
P49902	22978	5NTC		5'(3')-deoxyribonucleotidase family
Q9Y2G0	22979	EFR3B		EFR3 family
Q9BQ70	22980	TCF25		TCF25 family
Q9Y2I6	22981	NINL	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	
Q9Y2E4	22982	DIP2C	DMAP1-binding	DIP2 family
Q9Y2H9	22983	MAST1	Protein kinase;AGC-kinase C-terminal;PDZ	Protein kinase superfamily, AGC Ser/Thr protein kinase family
Q14690	22984	RRP5	S1 motif 1;S1 motif 2;S1 motif 3;S1 motif 4;S1 motif 5;S1 motif 6;S1 motif 7;S1 motif 8;S1 motif 9;S1 motif 10;S1 motif 11;S1 motif 12	
Q9UKV3	22985	ACINU	SAP	
Q9UPU3	22986	SORC3	PKD	VPS10-related sortilin family, SORCS subfamily
Q496J9	22987	SV2C		Major facilitator superfamily
Q9Y2K3	22989	MYH15	Myosin N-terminal SH3-like;Myosin motor;IQ	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family
Q96RV3	22990	PCX1		Pecanex family
Q9Y2K7	22992	KDM2A	JmjC;F-box	JHDM1 histone demethylase family
Q12766	22993	HMGX3		
Q9UPN4	22994	CP131	IQ	CEP131 family
O94986	22995	CE152		CEP152 family
Q9UPQ0	22998	LIMC1	Calponin-homology (CH);LIM zinc-binding	LIMCH1 family
Q86UR5	22999	RIMS1	RabBD;PDZ;C2 1;C2 2	
Q8IZQ1	23001	WDFY3	BEACH-type PH;BEACH	
Q9Y4D1	23002	DAAM1	GBD/FH3;FH1;FH2;DAD	Formin homology family
O60336	23005	MABP1		
Q4KWH8	23007	PLCH1	PH;EF-hand 1;EF-hand 2;PI-PLC X-box;PI-PLC Y-box;C2	
Q6PID8	23008	KLD10		
Q9UL25	23011	RAB21		Small GTPase superfamily, Rab family
Q9Y2H1	23012	ST38L	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family
Q96T58	23013	MINT	RRM 1;RRM 2;RRM 3;RRM 4;RID;SPOC	RRM Spen family
O94952	23014	FBX21	F-box	
A7E2F4	23015	GOG8A		GOLGA8 family
Q15024	23016	EXOS7		RNase PH family
Q9BWQ8	23017	LFG2		BI1 family, LFG subfamily
A5YKK6	23019	CNOT1		CNOT1 family
O75643	23020	U520	Helicase ATP-binding 1;Helicase C-terminal 1;SEC63 1;Helicase ATP-binding 2;Helicase C-terminal 2;SEC63 2	Helicase family, SKI2 subfamily
Q8WX93	23022	PALLD	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Ig-like C2-type 5	Myotilin/palladin family
O94876	23023	TMCC1		TEX28 family
Q9UPQ7	23024	PZRN3	PDZ 1;PDZ 2	
Q9UPW8	23025	UN13A	C2 1;C2 2;MHD1;MHD2;C2 3	Unc-13 family
Q9Y6X6	23026	MYO16	Myosin motor;IQ	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family; NYAP family
O60341	23028	KDM1A	SWIRM	Flavin monoamine oxidase family
